carat,cut,color,clarity,depth,table,x,y,z,price
0.33,3,1,2,62.2,59.0,4.43,4.41,2.75,743
0.31,2,3,4,61.0,55.0,4.39,4.43,2.69,625
0.9,4,0,2,62.5,59.0,6.11,6.15,3.83,4579
1.1,4,5,4,61.0,59.0,6.65,6.67,4.06,4878
0.37,2,3,5,60.3,56.0,4.67,4.7,2.83,682
0.4,4,1,2,63.0,57.0,4.65,4.68,2.94,687
0.42,3,1,2,62.3,58.0,4.81,4.76,2.98,992
0.34,2,2,6,61.4,55.0,4.52,4.54,2.78,919
1.21,2,6,2,61.9,54.0,6.85,6.88,4.25,5341
2.0,3,4,2,59.8,60.0,8.04,8.01,4.8,14126
0.3,4,1,4,61.4,59.0,4.32,4.28,2.64,653
0.38,4,3,6,59.9,56.0,4.73,4.75,2.84,970
2.01,4,2,3,63.3,59.0,7.98,7.89,5.02,11925
1.79,3,3,4,61.7,59.0,7.85,7.74,4.81,18419
0.3,4,3,6,60.7,56.0,4.32,4.35,2.63,725
0.62,2,3,7,61.8,57.0,5.44,5.47,3.37,2548
0.71,2,1,2,61.3,55.0,5.77,5.72,3.52,2817
1.88,4,0,3,63.2,60.0,7.84,7.79,4.94,9791
0.31,2,2,4,61.2,57.0,4.36,4.39,2.68,695
1.27,2,5,4,62.8,57.0,6.86,6.89,4.32,6396
0.67,2,3,6,62.4,55.0,5.6,5.62,3.5,2577
0.3,4,3,4,61.7,57.0,4.28,4.32,2.65,620
0.79,2,4,7,62.0,55.9,5.88,5.95,3.67,3324
0.32,2,0,3,61.7,55.0,4.39,4.42,2.72,454
0.42,4,4,5,62.1,57.0,4.76,4.8,2.97,773
1.37,4,3,4,58.3,60.0,7.3,7.35,4.27,10226
1.05,2,3,4,61.0,56.0,6.62,6.56,4.02,7526
0.7,4,1,3,60.1,56.0,5.76,5.79,3.47,2290
0.9,4,2,2,61.6,56.0,6.14,6.2,3.8,3724
0.9,4,3,2,63.1,59.0,6.15,6.11,3.87,3669
0.23,4,1,5,62.5,59.0,3.91,3.96,2.46,373
1.42,1,2,5,63.7,57.0,7.08,6.99,4.48,9542
0.32,4,4,5,63.0,57.0,4.35,4.38,2.75,505
0.32,3,6,5,61.9,59.0,4.35,4.38,2.7,393
0.45,0,3,2,68.6,57.0,4.73,4.5,3.19,756
0.31,2,4,7,62.4,57.0,4.32,4.36,2.71,625
1.07,3,3,4,58.6,60.0,6.76,6.65,3.93,6730
0.74,4,3,7,61.3,56.0,5.85,5.9,3.6,3413
2.01,1,4,0,63.9,59.0,8.01,7.92,5.09,7024
0.41,2,2,2,62.7,57.0,4.7,4.74,2.96,755
0.4,2,1,2,62.2,54.0,4.76,4.72,2.95,1074
0.3,2,4,4,62.3,55.1,4.29,4.32,2.68,539
0.9,0,5,7,67.0,56.0,5.91,5.83,3.93,3074
0.54,4,2,4,60.0,59.0,5.26,5.32,3.17,1653
0.43,3,3,4,61.8,59.0,4.88,4.83,3.0,1008
0.6,3,1,4,61.0,61.0,5.46,5.39,3.31,1875
1.54,2,3,3,61.7,56.0,7.41,7.44,4.58,9359
1.35,3,6,2,61.1,61.0,7.13,7.1,4.35,5715
0.7,4,3,4,60.8,56.0,5.72,5.76,3.49,2512
1.7,3,4,2,61.8,61.0,7.59,7.52,4.67,11848
1.24,2,0,7,62.6,55.0,6.94,6.89,4.33,13929
0.42,4,4,6,62.2,56.0,4.78,4.81,2.98,1193
0.32,2,1,6,61.7,56.0,4.42,4.4,2.72,1020
0.9,4,0,3,60.6,61.0,6.14,6.2,3.74,3534
0.34,2,4,2,61.5,55.0,4.53,4.55,2.79,647
0.38,3,1,5,61.8,58.0,4.64,4.61,2.86,1112
0.51,2,3,1,61.3,56.0,5.15,5.19,3.16,2163
0.3,2,3,6,61.7,57.0,4.3,4.32,2.66,789
0.42,4,2,2,63.3,56.0,4.79,4.75,3.02,926
0.92,4,1,2,63.2,58.0,6.18,6.16,3.9,4183
0.8,2,2,5,62.7,54.0,5.95,5.91,3.72,3369
0.93,1,0,3,64.5,58.0,6.11,6.14,3.95,3839
0.72,2,5,7,61.2,59.0,5.75,5.79,3.53,2452
0.75,4,1,2,62.3,58.0,5.78,5.81,3.61,2923
0.56,2,0,4,61.7,56.0,5.33,5.3,3.28,2026
2.09,2,5,2,61.8,56.0,8.15,8.22,5.06,17114
1.1,4,5,2,62.7,58.0,6.54,6.58,4.11,4356
0.71,3,3,4,62.4,61.0,5.7,5.65,3.54,2803
0.8,3,0,2,59.4,55.0,6.06,6.02,3.59,3226
0.7,4,4,4,60.3,63.0,5.77,5.73,3.47,2399
0.34,4,0,5,62.9,55.0,4.43,4.47,2.8,805
0.52,4,1,3,61.8,54.0,5.15,5.18,3.19,1120
1.05,2,3,6,60.7,55.0,6.6,6.65,4.02,8946
0.32,2,3,5,62.5,56.0,4.42,4.38,2.75,720
0.5,3,1,5,61.4,58.0,5.07,5.12,3.13,1624
2.01,3,5,4,62.9,59.0,8.03,7.94,5.02,18206
0.5,3,3,4,59.9,59.0,5.12,5.16,3.08,1624
1.01,2,0,7,61.6,57.0,6.44,6.48,3.98,12996
1.11,4,4,2,62.0,55.0,6.61,6.68,4.12,4871
0.41,2,2,1,61.4,58.0,4.78,4.83,2.95,1439
0.33,2,5,2,61.3,56.0,4.44,4.47,2.73,463
0.26,4,1,6,59.9,58.0,4.17,4.18,2.5,597
1.09,2,3,3,61.2,57.0,6.63,6.68,4.07,4586
0.52,2,1,5,62.3,53.0,5.17,5.2,3.23,1549
0.34,2,4,4,62.5,57.0,4.43,4.46,2.78,596
0.56,0,2,2,61.6,61.0,5.38,5.21,3.26,1176
0.28,1,3,5,61.8,61.0,4.2,4.21,2.6,394
0.23,4,0,5,62.9,57.0,3.92,3.97,2.48,402
0.51,3,3,5,62.3,59.0,5.1,5.07,3.17,1546
1.73,3,5,4,62.2,59.0,7.65,7.62,4.75,12674
0.71,2,4,7,61.7,57.0,5.68,5.73,3.53,3371
0.7,1,4,2,61.9,62.0,5.57,5.61,3.46,2088
0.91,3,4,5,61.9,59.0,6.18,6.23,3.84,4201
0.71,4,3,5,61.9,62.0,5.69,5.72,3.53,2671
0.3,4,4,6,62.8,56.0,4.26,4.28,2.68,655
1.51,1,5,4,64.0,60.0,7.1,7.19,4.57,8975
0.36,2,1,2,62.9,56.0,4.57,4.52,2.86,810
0.31,4,2,5,62.1,54.0,4.34,4.39,2.71,500
0.55,2,3,2,61.3,56.0,5.26,5.31,3.24,1605
1.58,3,2,3,60.7,60.0,7.54,7.51,4.57,6990
0.9,3,4,5,61.8,58.0,6.12,6.17,3.8,4155
0.34,2,2,5,62.1,56.0,4.47,4.45,2.77,880
0.34,2,5,6,61.8,56.0,4.47,4.5,2.77,626
1.03,2,2,6,61.3,54.0,6.56,6.62,4.04,9881
0.71,2,2,5,61.8,55.0,5.74,5.76,3.55,3516
1.2,3,4,3,62.5,58.0,6.76,6.81,4.24,5280
0.3,4,6,4,63.4,55.0,4.3,4.25,2.71,506
0.61,2,6,2,62.0,55.0,5.45,5.48,3.39,1143
0.53,2,2,6,61.4,57.0,5.23,5.2,3.2,2860
1.51,1,4,3,61.0,56.0,7.29,7.37,4.47,8243
0.7,3,2,2,61.3,59.0,5.71,5.74,3.51,2161
0.7,2,2,4,61.6,55.0,5.75,5.71,3.53,2874
0.98,0,4,2,68.6,58.0,6.18,6.04,4.19,3583
1.11,2,6,3,61.7,57.0,6.63,6.69,4.11,4092
0.61,4,6,2,60.8,58.0,5.46,5.49,3.33,1149
0.24,1,2,7,64.0,61.0,3.91,3.93,2.51,471
1.02,4,2,3,60.2,61.0,6.48,6.52,3.91,4162
1.57,2,5,2,62.4,53.6,7.42,7.47,4.64,9460
1.03,3,4,2,62.5,59.0,6.46,6.41,4.02,5129
1.14,2,6,3,61.5,57.0,6.73,6.77,4.15,4212
0.25,4,1,7,63.0,57.0,4.0,4.06,2.54,575
2.02,1,4,3,59.0,61.0,8.26,8.31,4.89,13144
0.55,2,4,4,61.9,55.0,5.25,5.28,3.26,1588
0.54,2,2,5,61.4,57.0,5.2,5.25,3.21,1662
0.9,4,4,3,59.5,63.0,6.31,6.26,3.74,3105
0.91,3,1,2,60.5,61.0,6.23,6.19,3.76,4138
0.31,3,3,5,60.7,61.0,4.37,4.33,2.64,698
1.51,2,0,3,61.2,56.0,7.4,7.36,4.52,6934
0.9,4,5,5,62.0,63.0,6.13,6.03,3.77,3338
0.31,1,0,2,63.5,56.0,4.29,4.31,2.73,571
0.5,0,4,5,56.3,65.0,5.24,5.21,2.94,1332
0.3,2,5,4,61.6,56.0,4.31,4.36,2.67,473
1.25,4,5,5,62.7,58.0,6.74,6.95,4.29,5975
0.44,4,6,4,61.9,57.0,4.83,4.9,3.01,694
1.11,3,3,5,61.5,58.0,6.69,6.62,4.09,7055
1.01,2,0,3,61.6,57.0,6.32,6.45,3.93,5051
1.06,3,3,5,60.9,57.0,6.65,6.61,4.04,6582
0.59,2,3,7,62.6,57.0,5.33,5.37,3.35,2125
0.34,1,5,2,63.7,54.0,4.43,4.48,2.84,447
0.42,2,5,6,62.5,57.0,4.8,4.77,2.99,945
0.83,3,1,2,58.4,59.0,6.22,6.18,3.62,3506
0.31,2,1,5,61.7,55.0,4.38,4.41,2.71,642
0.43,4,0,2,62.9,56.0,4.78,4.83,3.02,760
1.11,2,1,2,61.4,58.0,6.66,6.62,4.08,6291
1.06,2,5,3,61.4,57.0,6.57,6.63,4.05,3777
1.16,2,1,3,59.9,57.0,6.8,6.82,4.08,5001
2.14,4,5,5,59.7,57.0,8.41,8.48,5.04,16914
1.51,4,3,4,63.1,60.0,7.3,7.24,4.59,13811
0.92,4,0,3,60.2,61.0,6.27,6.32,3.79,3057
1.0,4,0,5,62.6,58.0,6.31,6.38,3.97,6762
1.08,2,2,5,62.3,54.0,6.6,6.56,4.1,7917
0.3,2,5,1,62.0,57.0,4.28,4.3,2.66,615
0.3,2,3,6,61.4,56.0,4.34,4.32,2.66,945
0.41,2,2,5,60.8,56.0,4.81,4.8,2.92,1107
0.26,2,2,6,60.3,56.0,4.15,4.17,2.51,733
1.51,0,5,5,64.6,58.0,7.19,7.15,4.63,8287
0.31,3,5,7,59.4,59.0,4.41,4.44,2.63,544
0.7,2,4,2,62.0,55.0,5.71,5.68,3.53,2184
0.38,2,2,2,60.4,57.0,4.7,4.74,2.85,844
0.31,3,4,7,61.4,58.0,4.35,4.32,2.66,802
0.76,4,1,7,60.6,59.0,5.85,5.94,3.57,3833
0.7,1,0,3,63.7,58.0,5.6,5.64,3.58,2367
0.28,4,2,4,61.0,59.0,4.18,4.24,2.57,487
1.28,2,2,4,61.5,55.0,6.98,7.01,4.3,12061
1.28,3,6,3,62.3,58.0,6.94,6.89,4.31,4636
1.52,2,1,3,61.0,56.0,7.45,7.41,4.53,8299
2.26,3,5,3,62.0,58.0,8.4,8.37,5.2,16241
0.3,2,3,2,62.3,56.0,4.29,4.31,2.68,477
0.31,2,3,4,61.9,56.0,4.34,4.38,2.7,542
1.01,4,2,2,62.9,57.0,6.35,6.4,4.01,6075
0.9,3,1,2,61.9,58.0,6.17,6.1,3.8,4209
1.0,4,0,4,62.7,60.0,6.31,6.36,3.97,7877
0.4,2,2,3,62.0,57.0,4.7,4.72,2.92,597
0.71,2,3,7,61.5,57.0,5.73,5.75,3.53,2893
0.34,3,1,2,59.3,58.0,4.55,4.59,2.71,596
1.13,2,4,2,62.3,56.0,6.66,6.69,4.16,5384
0.32,2,3,6,60.3,58.0,4.44,4.48,2.69,779
1.0,2,1,3,61.8,57.0,6.39,6.43,3.96,4743
1.5,2,4,4,61.3,55.0,7.37,7.34,4.51,10080
0.35,4,3,7,62.4,56.0,4.47,4.53,2.81,798
0.41,4,2,5,59.4,60.0,4.85,4.89,2.89,951
1.51,1,5,3,63.6,60.0,7.27,7.23,4.61,7957
0.3,2,1,4,60.0,56.0,4.39,4.41,2.64,663
1.0,1,5,7,57.4,59.0,6.61,6.53,3.77,4032
1.51,3,3,5,59.6,57.0,7.52,7.49,4.47,12696
0.7,0,2,5,65.3,55.0,5.63,5.58,3.66,2762
1.2,2,6,5,62.2,54.0,6.84,6.8,4.24,4106
0.4,4,5,2,63.2,54.0,4.69,4.67,2.96,765
1.24,4,3,2,61.8,58.0,6.9,6.96,4.28,7106
0.59,2,2,4,61.1,56.0,5.43,5.47,3.33,2140
0.76,3,3,3,62.8,60.0,5.81,5.79,3.64,2364
1.01,2,3,2,61.4,55.0,6.46,6.5,3.98,4653
1.1,3,6,3,59.6,59.0,6.74,6.72,4.01,3726
0.61,2,3,3,60.5,56.0,5.49,5.59,3.35,1306
0.5,0,2,2,64.7,60.0,4.99,4.84,3.18,1069
0.83,3,4,2,62.5,59.0,6.02,5.95,3.74,2825
0.93,2,4,2,62.4,55.0,6.2,6.24,3.88,4635
1.03,2,0,2,62.2,56.0,6.48,6.45,4.02,6299
0.9,3,3,2,62.2,60.0,6.14,6.07,3.8,3984
1.3,3,4,3,60.4,61.0,7.09,7.04,4.27,4732
0.57,3,1,2,61.4,58.0,5.34,5.28,3.26,1728
0.25,3,1,7,62.5,59.0,4.02,4.05,2.52,576
1.01,1,3,7,63.1,56.0,6.34,6.4,4.02,7430
1.01,3,1,5,60.2,58.0,6.56,6.52,3.94,6335
0.7,1,0,2,61.3,61.0,5.63,5.69,3.47,2980
1.01,1,4,5,64.2,55.0,6.38,6.34,4.08,4839
1.35,3,5,3,59.8,59.0,7.26,7.2,4.32,5715
0.91,4,0,3,60.8,58.0,6.26,6.31,3.82,3910
0.3,2,1,6,61.7,58.0,4.28,4.31,2.65,862
0.36,2,1,5,61.5,56.2,4.56,4.6,2.82,801
0.95,3,3,3,59.8,60.0,6.36,6.34,3.8,3181
0.55,4,3,4,59.4,62.0,5.32,5.36,3.17,1667
0.37,3,3,4,61.4,58.0,4.61,4.58,2.82,957
1.25,3,4,4,62.0,59.0,6.88,6.84,4.25,8099
1.27,2,3,5,62.0,58.0,6.89,6.95,4.29,8915
1.29,2,4,3,62.1,57.0,6.95,6.93,4.31,5926
0.9,3,5,2,60.9,56.0,6.26,6.21,3.8,2947
1.52,0,4,3,64.9,58.0,7.16,7.13,4.64,6129
0.2,4,1,5,63.4,59.0,3.74,3.71,2.36,367
0.35,3,1,2,61.1,59.0,4.56,4.5,2.77,788
0.31,3,1,7,62.2,56.0,4.31,4.28,2.67,1116
0.7,1,2,6,63.3,56.0,5.64,5.7,3.59,3310
0.8,2,3,7,61.5,55.0,5.95,5.99,3.68,4740
0.33,2,5,7,62.4,57.0,4.44,4.41,2.76,743
0.91,4,1,2,62.3,59.0,6.18,6.21,3.86,4914
1.1,4,2,0,59.8,61.0,6.65,6.7,3.99,3678
1.07,3,4,3,62.2,59.0,6.53,6.47,4.04,4194
0.37,2,3,7,61.9,54.0,4.63,4.67,2.88,917
1.26,3,6,5,62.0,60.0,7.0,6.86,4.3,5173
1.26,3,4,3,61.3,57.0,6.96,6.87,4.24,6350
0.31,3,4,7,60.6,60.0,4.34,4.38,2.64,625
1.34,3,4,5,62.3,60.0,7.05,7.02,4.38,7816
1.51,4,4,7,63.1,59.0,7.28,7.26,4.59,11934
1.21,2,4,5,62.2,55.0,6.84,6.79,4.24,5882
0.3,2,0,5,61.6,56.0,4.31,4.36,2.67,670
0.32,4,0,5,62.0,57.0,4.38,4.42,2.73,758
0.71,3,2,4,59.1,61.0,5.84,5.81,3.44,2839
0.32,2,3,4,61.8,55.0,4.45,4.42,2.74,828
0.29,2,4,4,61.8,57.0,4.27,4.31,2.64,498
0.58,3,3,3,61.2,59.0,5.4,5.36,3.29,1307
1.59,3,4,3,62.6,59.0,7.42,7.4,4.64,9385
0.53,2,5,7,61.2,56.0,5.21,5.28,3.21,1341
0.41,3,5,3,60.6,59.0,4.84,4.8,2.92,600
0.5,2,2,4,61.6,57.0,5.07,5.09,3.13,1695
2.01,2,4,2,62.1,55.0,8.12,8.07,5.03,18295
0.51,2,2,4,61.7,54.0,5.14,5.17,3.18,1744
0.52,2,3,7,61.8,57.0,5.19,5.14,3.19,2012
0.61,2,5,3,61.1,57.0,5.46,5.49,3.34,1401
1.08,3,3,4,62.9,55.0,6.6,6.53,4.13,6982
0.36,4,1,3,62.6,57.0,4.5,4.54,2.83,505
0.43,2,0,4,61.9,55.0,4.85,4.87,3.01,1207
0.7,4,2,5,61.6,60.0,5.63,5.71,3.49,2593
0.5,3,0,2,62.2,59.0,5.13,5.1,3.18,1654
0.7,0,5,2,65.0,56.0,5.6,5.5,3.61,1720
1.51,4,4,5,62.8,58.0,7.21,7.28,4.55,10225
0.41,3,0,6,62.3,53.0,4.78,4.75,2.97,1582
0.3,3,4,2,60.8,61.0,4.3,4.25,2.6,540
0.37,0,2,1,52.3,61.0,4.96,4.91,2.58,1166
1.23,2,3,5,62.4,57.0,6.88,6.83,4.28,8233
0.58,2,1,5,62.0,57.0,5.33,5.35,3.31,1752
0.38,3,4,5,60.5,59.0,4.69,4.66,2.83,898
0.79,2,0,2,61.3,54.0,5.96,6.01,3.67,3328
0.9,4,3,3,62.6,60.0,6.1,6.16,3.84,3593
1.0,3,4,5,62.4,59.0,6.75,6.72,4.2,5404
0.3,2,2,1,61.8,56.0,4.31,4.33,2.67,886
1.0,3,3,5,61.3,62.0,6.43,6.32,3.91,6048
1.25,4,3,6,60.6,60.0,6.92,6.95,4.2,10962
0.8,3,3,2,63.0,59.0,5.9,5.81,3.69,2760
0.31,2,0,5,62.1,55.0,4.32,4.38,2.7,636
0.38,2,4,6,60.7,56.0,4.75,4.74,2.88,1069
0.71,4,5,3,60.4,59.0,5.76,5.79,3.49,2003
0.33,4,1,2,60.2,58.0,4.49,4.55,2.72,579
0.3,3,1,5,62.0,58.0,4.29,4.26,2.65,844
0.3,2,2,4,61.0,56.0,4.37,4.35,2.66,731
0.35,2,0,2,62.3,55.0,4.56,4.52,2.83,827
0.41,3,1,2,61.4,56.0,4.81,4.77,2.94,969
0.29,2,3,1,62.0,56.0,4.23,4.27,2.63,673
0.31,1,1,2,63.9,56.0,4.27,4.31,2.74,544
0.71,2,3,2,62.9,57.0,5.67,5.62,3.55,2352
0.71,3,4,4,59.1,61.0,5.87,5.83,3.46,2572
1.07,2,2,3,61.4,56.0,6.57,6.63,4.05,5313
0.55,1,5,2,57.7,61.0,5.37,5.34,3.09,1089
2.01,2,3,5,63.0,56.0,8.0,7.93,5.02,18172
0.9,1,2,3,58.0,57.0,6.34,6.41,3.7,3770
0.36,2,3,3,62.3,54.0,4.57,4.61,2.86,505
0.4,2,0,3,60.5,57.0,4.73,4.76,2.87,648
0.52,4,3,4,61.8,58.0,5.19,5.16,3.2,1581
2.08,3,5,3,61.2,58.0,8.24,8.16,5.02,15321
1.5,3,1,5,61.8,59.0,7.31,7.38,4.54,14790
0.59,2,3,1,62.0,54.0,5.38,5.43,3.35,2444
0.31,2,2,6,62.0,54.0,4.36,4.38,2.71,840
1.5,1,0,3,61.9,61.0,7.31,7.38,4.55,10302
1.52,3,3,7,62.1,58.0,7.4,7.31,4.57,14105
0.71,2,2,7,62.6,56.0,5.7,5.65,3.55,3018
0.33,4,2,5,62.4,57.0,4.39,4.43,2.75,666
0.41,2,0,4,62.8,57.0,4.76,4.73,2.98,1230
0.84,2,5,4,61.4,57.0,6.03,6.09,3.72,3201
0.73,4,2,2,61.3,56.0,5.78,5.84,3.56,3023
0.71,4,3,2,63.1,60.0,5.6,5.69,3.56,2240
1.03,3,1,2,61.3,60.0,6.53,6.51,4.0,5101
1.54,3,3,2,60.5,61.0,7.47,7.44,4.51,11574
0.54,1,1,7,60.1,61.0,5.3,5.38,3.21,2502
0.7,3,2,5,60.2,59.0,5.78,5.74,3.47,2657
0.52,3,1,5,61.6,59.0,5.16,5.14,3.17,1694
0.41,4,0,2,63.3,55.0,4.77,4.74,3.01,947
0.31,2,4,5,61.9,55.0,4.38,4.35,2.7,628
0.71,3,2,4,58.6,62.0,5.88,5.82,3.43,3082
0.43,4,3,6,61.3,57.0,4.85,4.87,2.98,1207
0.9,4,3,3,61.4,58.0,6.16,6.21,3.8,3489
0.34,2,1,5,62.1,54.0,4.5,4.52,2.8,745
0.33,2,1,2,62.5,55.0,4.45,4.42,2.77,743
0.33,4,3,4,60.1,61.0,4.44,4.48,2.68,666
0.71,3,1,2,60.5,55.0,5.79,5.74,3.49,2756
0.7,1,0,5,63.9,58.0,5.62,5.58,3.58,3033
1.53,4,4,1,63.1,57.0,7.34,7.25,4.6,13369
0.33,2,2,1,61.8,55.0,4.47,4.49,2.77,1028
2.01,1,3,3,63.6,59.0,7.97,7.9,5.05,11096
1.02,4,2,3,63.0,58.0,6.38,6.44,4.04,4162
0.35,3,1,5,60.7,60.0,4.58,4.55,2.77,984
0.3,2,1,5,62.4,57.0,4.29,4.24,2.66,844
0.3,1,3,7,63.1,56.0,4.2,4.23,2.66,684
0.74,3,2,4,61.7,57.0,5.85,5.79,3.59,3170
