id,carat,cut,color,clarity,depth,table,x,y,z,price
82,0.7,Very Good,E,VS1,63.4,56.0,5.6,5.63,3.56,3107
83,1.19,Very Good,E,SI1,58.0,63.0,6.9,6.97,4.02,5956
84,0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,2777
85,1.53,Good,F,VS1,60.8,61.0,7.31,7.39,4.47,15619
86,1.02,Ideal,H,SI1,59.9,56.0,6.54,6.51,3.91,5079
87,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,4063
88,0.36,Premium,F,SI1,61.1,59.0,4.55,4.59,2.79,600
89,1.22,Premium,G,VS1,61.6,60.0,6.85,6.88,4.23,7850
90,0.32,Ideal,D,SI2,62.8,57.0,4.38,4.35,2.74,612
91,0.3,Ideal,D,VS1,60.8,56.0,4.37,4.39,2.66,885
92,0.57,Ideal,H,IF,62.2,56.0,5.3,5.33,3.3,2195
93,0.9,Premium,E,SI2,59.2,60.0,6.31,6.23,3.71,3701
94,0.43,Good,F,SI1,63.6,53.0,4.79,4.83,3.06,739
95,2.18,Ideal,I,SI1,61.2,56.0,8.39,8.51,5.17,15646
96,0.33,Ideal,I,VS2,62.4,56.0,4.39,4.43,2.75,463
97,0.31,Very Good,E,VVS2,60.8,55.0,4.38,4.43,2.68,816
98,1.71,Very Good,F,SI1,63.3,53.0,7.54,7.59,4.79,13152
99,0.42,Very Good,E,SI1,59.8,61.0,4.85,4.89,2.91,722
100,0.3,Ideal,F,VVS1,62.0,58.0,4.26,4.29,2.65,814
101,0.32,Ideal,F,VVS2,60.9,56.0,4.44,4.46,2.71,800
102,0.3,Premium,F,VS2,62.2,60.0,4.27,4.22,2.64,776
103,2.13,Premium,G,SI2,60.7,60.0,8.27,8.37,5.05,16778
104,0.33,Premium,E,SI1,62.2,59.0,4.43,4.41,2.75,743
105,0.31,Ideal,G,VS1,61.0,55.0,4.39,4.43,2.69,625
106,0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,4579
107,1.1,Very Good,I,VS1,61.0,59.0,6.65,6.67,4.06,4878
108,0.37,Ideal,G,VS2,60.3,56.0,4.67,4.7,2.83,682
109,0.4,Very Good,E,SI1,63.0,57.0,4.65,4.68,2.94,687
110,0.42,Premium,E,SI1,62.3,58.0,4.81,4.76,2.98,992
111,0.34,Ideal,F,VVS1,61.4,55.0,4.52,4.54,2.78,919
112,1.21,Ideal,J,SI1,61.9,54.0,6.85,6.88,4.25,5341
113,2.0,Premium,H,SI1,59.8,60.0,8.04,8.01,4.8,14126
114,0.3,Very Good,E,VS1,61.4,59.0,4.32,4.28,2.64,653
115,0.38,Very Good,G,VVS1,59.9,56.0,4.73,4.75,2.84,970
116,2.01,Very Good,F,SI2,63.3,59.0,7.98,7.89,5.02,11925
117,1.79,Premium,G,VS1,61.7,59.0,7.85,7.74,4.81,18419
118,0.3,Very Good,G,VVS1,60.7,56.0,4.32,4.35,2.63,725
119,0.62,Ideal,G,VVS2,61.8,57.0,5.44,5.47,3.37,2548
120,0.71,Ideal,E,SI1,61.3,55.0,5.77,5.72,3.52,2817
121,1.88,Very Good,D,SI2,63.2,60.0,7.84,7.79,4.94,9791
122,0.31,Ideal,F,VS1,61.2,57.0,4.36,4.39,2.68,695
123,1.27,Ideal,I,VS1,62.8,57.0,6.86,6.89,4.32,6396
124,0.67,Ideal,G,VVS1,62.4,55.0,5.6,5.62,3.5,2577
125,0.3,Very Good,G,VS1,61.7,57.0,4.28,4.32,2.65,620
126,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,3324
127,0.32,Ideal,D,SI2,61.7,55.0,4.39,4.42,2.72,454
128,0.42,Very Good,H,VS2,62.1,57.0,4.76,4.8,2.97,773
129,1.37,Very Good,G,VS1,58.3,60.0,7.3,7.35,4.27,10226
130,1.05,Ideal,G,VS1,61.0,56.0,6.62,6.56,4.02,7526
131,0.7,Very Good,E,SI2,60.1,56.0,5.76,5.79,3.47,2290
132,0.9,Very Good,F,SI1,61.6,56.0,6.14,6.2,3.8,3724
133,0.9,Very Good,G,SI1,63.1,59.0,6.15,6.11,3.87,3669
134,0.23,Very Good,E,VS2,62.5,59.0,3.91,3.96,2.46,373
135,1.42,Good,F,VS2,63.7,57.0,7.08,6.99,4.48,9542
136,0.32,Very Good,H,VS2,63.0,57.0,4.35,4.38,2.75,505
137,0.32,Premium,J,VS2,61.9,59.0,4.35,4.38,2.7,393
138,0.45,Fair,G,SI1,68.6,57.0,4.73,4.5,3.19,756
139,0.31,Ideal,H,VVS2,62.4,57.0,4.32,4.36,2.71,625
140,1.07,Premium,G,VS1,58.6,60.0,6.76,6.65,3.93,6730
141,0.74,Very Good,G,VVS2,61.3,56.0,5.85,5.9,3.6,3413
142,2.01,Good,H,I1,63.9,59.0,8.01,7.92,5.09,7024
143,0.41,Ideal,F,SI1,62.7,57.0,4.7,4.74,2.96,755
144,0.4,Ideal,E,SI1,62.2,54.0,4.76,4.72,2.95,1074
145,0.3,Ideal,H,VS1,62.3,55.1,4.29,4.32,2.68,539
146,0.9,Fair,I,VVS2,67.0,56.0,5.91,5.83,3.93,3074
147,0.54,Very Good,F,VS1,60.0,59.0,5.26,5.32,3.17,1653
148,0.43,Premium,G,VS1,61.8,59.0,4.88,4.83,3.0,1008
149,0.6,Premium,E,VS1,61.0,61.0,5.46,5.39,3.31,1875
150,1.54,Ideal,G,SI2,61.7,56.0,7.41,7.44,4.58,9359
151,1.35,Premium,J,SI1,61.1,61.0,7.13,7.1,4.35,5715
152,0.7,Very Good,G,VS1,60.8,56.0,5.72,5.76,3.49,2512
153,1.7,Premium,H,SI1,61.8,61.0,7.59,7.52,4.67,11848
154,1.24,Ideal,D,VVS2,62.6,55.0,6.94,6.89,4.33,13929
155,0.42,Very Good,H,VVS1,62.2,56.0,4.78,4.81,2.98,1193
156,0.32,Ideal,E,VVS1,61.7,56.0,4.42,4.4,2.72,1020
157,0.9,Very Good,D,SI2,60.6,61.0,6.14,6.2,3.74,3534
158,0.34,Ideal,H,SI1,61.5,55.0,4.53,4.55,2.79,647
159,0.38,Premium,E,VS2,61.8,58.0,4.64,4.61,2.86,1112
160,0.51,Ideal,G,IF,61.3,56.0,5.15,5.19,3.16,2163
161,0.3,Ideal,G,VVS1,61.7,57.0,4.3,4.32,2.66,789
162,0.42,Very Good,F,SI1,63.3,56.0,4.79,4.75,3.02,926
163,0.92,Very Good,E,SI1,63.2,58.0,6.18,6.16,3.9,4183
164,0.8,Ideal,F,VS2,62.7,54.0,5.95,5.91,3.72,3369
165,0.93,Good,D,SI2,64.5,58.0,6.11,6.14,3.95,3839
166,0.72,Ideal,I,VVS2,61.2,59.0,5.75,5.79,3.53,2452
167,0.75,Very Good,E,SI1,62.3,58.0,5.78,5.81,3.61,2923
168,0.56,Ideal,D,VS1,61.7,56.0,5.33,5.3,3.28,2026
169,2.09,Ideal,I,SI1,61.8,56.0,8.15,8.22,5.06,17114
170,1.1,Very Good,I,SI1,62.7,58.0,6.54,6.58,4.11,4356
171,0.71,Premium,G,VS1,62.4,61.0,5.7,5.65,3.54,2803
172,0.8,Premium,D,SI1,59.4,55.0,6.06,6.02,3.59,3226
173,0.7,Very Good,H,VS1,60.3,63.0,5.77,5.73,3.47,2399
174,0.34,Very Good,D,VS2,62.9,55.0,4.43,4.47,2.8,805
175,0.52,Very Good,E,SI2,61.8,54.0,5.15,5.18,3.19,1120
176,1.05,Ideal,G,VVS1,60.7,55.0,6.6,6.65,4.02,8946
177,0.32,Ideal,G,VS2,62.5,56.0,4.42,4.38,2.75,720
178,0.5,Premium,E,VS2,61.4,58.0,5.07,5.12,3.13,1624
179,2.01,Premium,I,VS1,62.9,59.0,8.03,7.94,5.02,18206
180,0.5,Premium,G,VS1,59.9,59.0,5.12,5.16,3.08,1624
181,1.01,Ideal,D,VVS2,61.6,57.0,6.44,6.48,3.98,12996
182,1.11,Very Good,H,SI1,62.0,55.0,6.61,6.68,4.12,4871
183,0.41,Ideal,F,IF,61.4,58.0,4.78,4.83,2.95,1439
184,0.33,Ideal,I,SI1,61.3,56.0,4.44,4.47,2.73,463
185,0.26,Very Good,E,VVS1,59.9,58.0,4.17,4.18,2.5,597
186,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,4586
187,0.52,Ideal,E,VS2,62.3,53.0,5.17,5.2,3.23,1549
188,0.34,Ideal,H,VS1,62.5,57.0,4.43,4.46,2.78,596
189,0.56,Fair,F,SI1,61.6,61.0,5.38,5.21,3.26,1176
190,0.28,Good,G,VS2,61.8,61.0,4.2,4.21,2.6,394
191,0.23,Very Good,D,VS2,62.9,57.0,3.92,3.97,2.48,402
192,0.51,Premium,G,VS2,62.3,59.0,5.1,5.07,3.17,1546
193,1.73,Premium,I,VS1,62.2,59.0,7.65,7.62,4.75,12674
194,0.71,Ideal,H,VVS2,61.7,57.0,5.68,5.73,3.53,3371
195,0.7,Good,H,SI1,61.9,62.0,5.57,5.61,3.46,2088
196,0.91,Premium,H,VS2,61.9,59.0,6.18,6.23,3.84,4201
197,0.71,Very Good,G,VS2,61.9,62.0,5.69,5.72,3.53,2671
198,0.3,Very Good,H,VVS1,62.8,56.0,4.26,4.28,2.68,655
199,1.51,Good,I,VS1,64.0,60.0,7.1,7.19,4.57,8975
200,0.36,Ideal,E,SI1,62.9,56.0,4.57,4.52,2.86,810
201,0.31,Very Good,F,VS2,62.1,54.0,4.34,4.39,2.71,500
202,0.55,Ideal,G,SI1,61.3,56.0,5.26,5.31,3.24,1605
203,1.58,Premium,F,SI2,60.7,60.0,7.54,7.51,4.57,6990
204,0.9,Premium,H,VS2,61.8,58.0,6.12,6.17,3.8,4155
205,0.34,Ideal,F,VS2,62.1,56.0,4.47,4.45,2.77,880
206,0.34,Ideal,I,VVS1,61.8,56.0,4.47,4.5,2.77,626
207,1.03,Ideal,F,VVS1,61.3,54.0,6.56,6.62,4.04,9881
208,0.71,Ideal,F,VS2,61.8,55.0,5.74,5.76,3.55,3516
209,1.2,Premium,H,SI2,62.5,58.0,6.76,6.81,4.24,5280
210,0.3,Very Good,J,VS1,63.4,55.0,4.3,4.25,2.71,506
211,0.61,Ideal,J,SI1,62.0,55.0,5.45,5.48,3.39,1143
212,0.53,Ideal,F,VVS1,61.4,57.0,5.23,5.2,3.2,2860
213,1.51,Good,H,SI2,61.0,56.0,7.29,7.37,4.47,8243
214,0.7,Premium,F,SI1,61.3,59.0,5.71,5.74,3.51,2161
215,0.7,Ideal,F,VS1,61.6,55.0,5.75,5.71,3.53,2874
216,0.98,Fair,H,SI1,68.6,58.0,6.18,6.04,4.19,3583
217,1.11,Ideal,J,SI2,61.7,57.0,6.63,6.69,4.11,4092
218,0.61,Very Good,J,SI1,60.8,58.0,5.46,5.49,3.33,1149
219,0.24,Good,F,VVS2,64.0,61.0,3.91,3.93,2.51,471
220,1.02,Very Good,F,SI2,60.2,61.0,6.48,6.52,3.91,4162
221,1.57,Ideal,I,SI1,62.4,53.6,7.42,7.47,4.64,9460
222,1.03,Premium,H,SI1,62.5,59.0,6.46,6.41,4.02,5129
223,1.14,Ideal,J,SI2,61.5,57.0,6.73,6.77,4.15,4212
224,0.25,Very Good,E,VVS2,63.0,57.0,4.0,4.06,2.54,575
225,2.02,Good,H,SI2,59.0,61.0,8.26,8.31,4.89,13144
226,0.55,Ideal,H,VS1,61.9,55.0,5.25,5.28,3.26,1588
227,0.54,Ideal,F,VS2,61.4,57.0,5.2,5.25,3.21,1662
228,0.9,Very Good,H,SI2,59.5,63.0,6.31,6.26,3.74,3105
229,0.91,Premium,E,SI1,60.5,61.0,6.23,6.19,3.76,4138
230,0.31,Premium,G,VS2,60.7,61.0,4.37,4.33,2.64,698
231,1.51,Ideal,D,SI2,61.2,56.0,7.4,7.36,4.52,6934
232,0.9,Very Good,I,VS2,62.0,63.0,6.13,6.03,3.77,3338
233,0.31,Good,D,SI1,63.5,56.0,4.29,4.31,2.73,571
234,0.5,Fair,H,VS2,56.3,65.0,5.24,5.21,2.94,1332
235,0.3,Ideal,I,VS1,61.6,56.0,4.31,4.36,2.67,473
236,1.25,Very Good,I,VS2,62.7,58.0,6.74,6.95,4.29,5975
237,0.44,Very Good,J,VS1,61.9,57.0,4.83,4.9,3.01,694
238,1.11,Premium,G,VS2,61.5,58.0,6.69,6.62,4.09,7055
239,1.01,Ideal,D,SI2,61.6,57.0,6.32,6.45,3.93,5051
240,1.06,Premium,G,VS2,60.9,57.0,6.65,6.61,4.04,6582
241,0.59,Ideal,G,VVS2,62.6,57.0,5.33,5.37,3.35,2125
242,0.34,Good,I,SI1,63.7,54.0,4.43,4.48,2.84,447
243,0.42,Ideal,I,VVS1,62.5,57.0,4.8,4.77,2.99,945
244,0.83,Premium,E,SI1,58.4,59.0,6.22,6.18,3.62,3506
245,0.31,Ideal,E,VS2,61.7,55.0,4.38,4.41,2.71,642
246,0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,760
247,1.11,Ideal,E,SI1,61.4,58.0,6.66,6.62,4.08,6291
248,1.06,Ideal,I,SI2,61.4,57.0,6.57,6.63,4.05,3777
249,1.16,Ideal,E,SI2,59.9,57.0,6.8,6.82,4.08,5001
250,2.14,Very Good,I,VS2,59.7,57.0,8.41,8.48,5.04,16914
251,1.51,Very Good,G,VS1,63.1,60.0,7.3,7.24,4.59,13811
252,0.92,Very Good,D,SI2,60.2,61.0,6.27,6.32,3.79,3057
253,1.0,Very Good,D,VS2,62.6,58.0,6.31,6.38,3.97,6762
254,1.08,Ideal,F,VS2,62.3,54.0,6.6,6.56,4.1,7917
255,0.3,Ideal,I,IF,62.0,57.0,4.28,4.3,2.66,615
256,0.3,Ideal,G,VVS1,61.4,56.0,4.34,4.32,2.66,945
257,0.41,Ideal,F,VS2,60.8,56.0,4.81,4.8,2.92,1107
258,0.26,Ideal,F,VVS1,60.3,56.0,4.15,4.17,2.51,733
259,1.51,Fair,I,VS2,64.6,58.0,7.19,7.15,4.63,8287
260,0.31,Premium,I,VVS2,59.4,59.0,4.41,4.44,2.63,544
261,0.7,Ideal,H,SI1,62.0,55.0,5.71,5.68,3.53,2184
262,0.38,Ideal,F,SI1,60.4,57.0,4.7,4.74,2.85,844
263,0.31,Premium,H,VVS2,61.4,58.0,4.35,4.32,2.66,802
264,0.76,Very Good,E,VVS2,60.6,59.0,5.85,5.94,3.57,3833
265,0.7,Good,D,SI2,63.7,58.0,5.6,5.64,3.58,2367
266,0.28,Very Good,F,VS1,61.0,59.0,4.18,4.24,2.57,487
267,1.28,Ideal,F,VS1,61.5,55.0,6.98,7.01,4.3,12061
268,1.28,Premium,J,SI2,62.3,58.0,6.94,6.89,4.31,4636
269,1.52,Ideal,E,SI2,61.0,56.0,7.45,7.41,4.53,8299
270,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,16241
271,0.3,Ideal,G,SI1,62.3,56.0,4.29,4.31,2.68,477
272,0.31,Ideal,G,VS1,61.9,56.0,4.34,4.38,2.7,542
273,1.01,Very Good,F,SI1,62.9,57.0,6.35,6.4,4.01,6075
274,0.9,Premium,E,SI1,61.9,58.0,6.17,6.1,3.8,4209
275,1.0,Very Good,D,VS1,62.7,60.0,6.31,6.36,3.97,7877
276,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,597
277,0.71,Ideal,G,VVS2,61.5,57.0,5.73,5.75,3.53,2893
278,0.34,Premium,E,SI1,59.3,58.0,4.55,4.59,2.71,596
279,1.13,Ideal,H,SI1,62.3,56.0,6.66,6.69,4.16,5384
280,0.32,Ideal,G,VVS1,60.3,58.0,4.44,4.48,2.69,779
281,1.0,Ideal,E,SI2,61.8,57.0,6.39,6.43,3.96,4743
282,1.5,Ideal,H,VS1,61.3,55.0,7.37,7.34,4.51,10080
283,0.35,Very Good,G,VVS2,62.4,56.0,4.47,4.53,2.81,798
284,0.41,Very Good,F,VS2,59.4,60.0,4.85,4.89,2.89,951
285,1.51,Good,I,SI2,63.6,60.0,7.27,7.23,4.61,7957
286,0.3,Ideal,E,VS1,60.0,56.0,4.39,4.41,2.64,663
287,1.0,Good,I,VVS2,57.4,59.0,6.61,6.53,3.77,4032
288,1.51,Premium,G,VS2,59.6,57.0,7.52,7.49,4.47,12696
289,0.7,Fair,F,VS2,65.3,55.0,5.63,5.58,3.66,2762
290,1.2,Ideal,J,VS2,62.2,54.0,6.84,6.8,4.24,4106
291,0.4,Very Good,I,SI1,63.2,54.0,4.69,4.67,2.96,765
292,1.24,Very Good,G,SI1,61.8,58.0,6.9,6.96,4.28,7106
293,0.59,Ideal,F,VS1,61.1,56.0,5.43,5.47,3.33,2140
294,0.76,Premium,G,SI2,62.8,60.0,5.81,5.79,3.64,2364
295,1.01,Ideal,G,SI1,61.4,55.0,6.46,6.5,3.98,4653
296,1.1,Premium,J,SI2,59.6,59.0,6.74,6.72,4.01,3726
297,0.61,Ideal,G,SI2,60.5,56.0,5.49,5.59,3.35,1306
298,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1069
299,0.83,Premium,H,SI1,62.5,59.0,6.02,5.95,3.74,2825
300,0.93,Ideal,H,SI1,62.4,55.0,6.2,6.24,3.88,4635
301,1.03,Ideal,D,SI1,62.2,56.0,6.48,6.45,4.02,6299
302,0.9,Premium,G,SI1,62.2,60.0,6.14,6.07,3.8,3984
303,1.3,Premium,H,SI2,60.4,61.0,7.09,7.04,4.27,4732
304,0.57,Premium,E,SI1,61.4,58.0,5.34,5.28,3.26,1728
305,0.25,Premium,E,VVS2,62.5,59.0,4.02,4.05,2.52,576
306,1.01,Good,G,VVS2,63.1,56.0,6.34,6.4,4.02,7430
307,1.01,Premium,E,VS2,60.2,58.0,6.56,6.52,3.94,6335
308,0.7,Good,D,SI1,61.3,61.0,5.63,5.69,3.47,2980
309,1.01,Good,H,VS2,64.2,55.0,6.38,6.34,4.08,4839
310,1.35,Premium,I,SI2,59.8,59.0,7.26,7.2,4.32,5715
311,0.91,Very Good,D,SI2,60.8,58.0,6.26,6.31,3.82,3910
312,0.3,Ideal,E,VVS1,61.7,58.0,4.28,4.31,2.65,862
313,0.36,Ideal,E,VS2,61.5,56.2,4.56,4.6,2.82,801
314,0.95,Premium,G,SI2,59.8,60.0,6.36,6.34,3.8,3181
315,0.55,Very Good,G,VS1,59.4,62.0,5.32,5.36,3.17,1667
316,0.37,Premium,G,VS1,61.4,58.0,4.61,4.58,2.82,957
317,1.25,Premium,H,VS1,62.0,59.0,6.88,6.84,4.25,8099
318,1.27,Ideal,G,VS2,62.0,58.0,6.89,6.95,4.29,8915
319,1.29,Ideal,H,SI2,62.1,57.0,6.95,6.93,4.31,5926
320,0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,2947
321,1.52,Fair,H,SI2,64.9,58.0,7.16,7.13,4.64,6129
322,0.2,Very Good,E,VS2,63.4,59.0,3.74,3.71,2.36,367
323,0.35,Premium,E,SI1,61.1,59.0,4.56,4.5,2.77,788
324,0.31,Premium,E,VVS2,62.2,56.0,4.31,4.28,2.67,1116
325,0.7,Good,F,VVS1,63.3,56.0,5.64,5.7,3.59,3310
326,0.8,Ideal,G,VVS2,61.5,55.0,5.95,5.99,3.68,4740
327,0.33,Ideal,I,VVS2,62.4,57.0,4.44,4.41,2.76,743
328,0.91,Very Good,E,SI1,62.3,59.0,6.18,6.21,3.86,4914
329,1.1,Very Good,F,I1,59.8,61.0,6.65,6.7,3.99,3678
330,1.07,Premium,H,SI2,62.2,59.0,6.53,6.47,4.04,4194
331,0.37,Ideal,G,VVS2,61.9,54.0,4.63,4.67,2.88,917
332,1.26,Premium,J,VS2,62.0,60.0,7.0,6.86,4.3,5173
333,1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,6350
334,0.31,Premium,H,VVS2,60.6,60.0,4.34,4.38,2.64,625
335,1.34,Premium,H,VS2,62.3,60.0,7.05,7.02,4.38,7816
336,1.51,Very Good,H,VVS2,63.1,59.0,7.28,7.26,4.59,11934
337,1.21,Ideal,H,VS2,62.2,55.0,6.84,6.79,4.24,5882
338,0.3,Ideal,D,VS2,61.6,56.0,4.31,4.36,2.67,670
339,0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,758
340,0.71,Premium,F,VS1,59.1,61.0,5.84,5.81,3.44,2839
341,0.32,Ideal,G,VS1,61.8,55.0,4.45,4.42,2.74,828
342,0.29,Ideal,H,VS1,61.8,57.0,4.27,4.31,2.64,498
343,0.58,Premium,G,SI2,61.2,59.0,5.4,5.36,3.29,1307
344,1.59,Premium,H,SI2,62.6,59.0,7.42,7.4,4.64,9385
345,0.53,Ideal,I,VVS2,61.2,56.0,5.21,5.28,3.21,1341
346,0.41,Premium,I,SI2,60.6,59.0,4.84,4.8,2.92,600
347,0.5,Ideal,F,VS1,61.6,57.0,5.07,5.09,3.13,1695
348,2.01,Ideal,H,SI1,62.1,55.0,8.12,8.07,5.03,18295
349,0.51,Ideal,F,VS1,61.7,54.0,5.14,5.17,3.18,1744
350,0.52,Ideal,G,VVS2,61.8,57.0,5.19,5.14,3.19,2012
351,0.61,Ideal,I,SI2,61.1,57.0,5.46,5.49,3.34,1401
352,1.08,Premium,G,VS1,62.9,55.0,6.6,6.53,4.13,6982
