id,carat,cut,color,clarity,depth,table,x,y,z
38,0.8,Very Good,F,SI1,63.5,55.0,5.86,5.89,3.73
39,0.31,Ideal,H,VS2,61.2,56.0,4.36,4.4,2.68
40,0.41,Premium,E,SI1,61.3,58.0,4.8,4.76,2.93
41,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55
42,0.71,Premium,F,VS1,62.2,58.0,5.72,5.66,3.54
43,1.24,Ideal,I,VS2,62.0,55.0,6.9,6.87,4.27
44,0.9,Good,H,VS2,61.9,58.0,6.14,6.18,3.81
45,0.72,Ideal,G,VS1,61.7,56.0,5.75,5.78,3.56
46,1.51,Good,I,SI1,63.9,63.0,7.2,7.17,4.59
47,0.57,Premium,G,VS1,62.4,58.0,5.32,5.29,3.31
48,1.1,Ideal,D,VVS2,62.2,57.0,6.58,6.54,4.08
49,0.26,Ideal,D,VVS2,61.4,55.0,4.1,4.17,2.54
50,0.7,Ideal,G,SI2,61.8,56.0,5.66,5.6,3.48
51,0.32,Ideal,G,VVS2,62.6,57.0,4.34,4.38,2.73
52,1.52,Very Good,F,SI2,62.1,58.0,7.26,7.34,4.53
53,0.71,Ideal,E,VS2,60.9,56.0,5.77,5.83,3.53
54,1.31,Ideal,F,VS2,59.6,60.0,7.06,7.16,4.24
55,1.04,Premium,F,VS2,61.9,58.0,6.55,6.51,4.04
56,0.3,Ideal,D,VS2,62.3,54.0,4.3,4.33,2.69
57,0.33,Good,D,VS2,61.8,61.0,4.4,4.44,2.73
58,1.09,Premium,G,SI1,62.5,59.0,6.56,6.53,4.09
59,1.01,Premium,G,VS1,62.7,56.0,6.46,6.36,4.02
60,1.0,Premium,H,SI2,62.7,58.0,6.33,6.31,3.96
61,0.3,Ideal,F,VVS1,62.5,57.0,4.26,4.29,2.67
62,2.18,Premium,G,SI2,61.9,60.0,8.24,8.29,5.12
63,1.35,Ideal,D,VS2,61.3,57.0,7.09,7.13,4.36
64,0.71,Ideal,H,VS2,61.4,57.0,5.71,5.75,3.52
65,1.2,Ideal,H,VS1,61.9,57.0,6.77,6.73,4.18
66,0.4,Ideal,H,VVS1,62.2,55.0,4.7,4.75,2.94
67,0.7,Good,F,SI2,64.1,55.0,5.58,5.52,3.56
68,1.63,Ideal,H,SI2,62.4,57.0,7.59,7.52,4.71
69,0.44,Premium,G,SI1,61.9,58.0,4.87,4.83,3.0
70,0.9,Good,E,SI1,63.8,56.0,6.12,6.05,3.88
71,0.3,Premium,H,SI1,61.2,60.0,4.31,4.29,2.63
72,0.42,Premium,D,VS1,60.8,59.0,4.85,4.79,2.93
73,0.34,Premium,H,VVS1,61.2,60.0,4.5,4.46,2.74
74,0.72,Ideal,F,VVS2,61.2,56.0,5.78,5.81,3.55
75,0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58
76,0.54,Very Good,E,SI1,63.2,57.0,5.15,5.2,3.27
77,0.5,Premium,E,VS1,60.1,58.0,5.21,5.17,3.12
78,1.0,Premium,E,SI2,62.8,59.0,6.34,6.3,3.97
79,1.0,Premium,D,SI1,61.4,58.0,6.37,6.43,3.93
80,0.42,Ideal,J,VS2,62.0,55.0,4.81,4.87,3.0
81,0.53,Ideal,G,SI2,61.6,55.0,5.2,5.25,3.22
82,0.53,Fair,E,SI1,56.2,64.0,5.43,5.41,3.05
83,0.56,Premium,F,SI2,60.4,60.0,5.35,5.32,3.22
84,1.22,Fair,I,SI1,66.2,60.0,6.61,6.56,4.36
85,0.27,Ideal,E,VVS1,62.0,56.0,4.19,4.16,2.59
86,0.41,Ideal,G,SI2,61.7,56.0,4.79,4.81,2.96
87,0.7,Ideal,G,SI2,62.6,55.0,5.66,5.69,3.55
88,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7
89,1.1,Ideal,D,VVS2,62.0,57.0,6.57,6.62,4.09
90,0.59,Premium,E,SI1,61.8,60.0,5.33,5.39,3.31
91,0.35,Premium,G,SI1,60.3,60.0,4.57,4.59,2.76
92,0.3,Good,H,SI1,63.4,58.0,4.21,4.24,2.68
93,0.3,Premium,I,VS1,59.1,59.0,4.35,4.38,2.58
94,0.91,Good,D,SI2,64.1,62.0,6.01,6.06,3.87
95,2.04,Very Good,I,SI1,63.6,60.0,7.97,7.86,5.03
96,0.3,Ideal,F,VVS2,61.7,56.0,4.32,4.34,2.67
97,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22
98,0.32,Ideal,J,VS2,62.3,55.3,4.36,4.37,2.72
99,0.63,Premium,E,VS1,60.5,57.0,5.58,5.53,3.36
100,0.31,Ideal,F,VS2,61.3,55.0,4.35,4.39,2.68
101,0.25,Ideal,E,VS2,62.1,57.0,4.02,4.06,2.5
102,0.56,Ideal,F,VVS2,61.9,56.0,5.32,5.28,3.28
103,1.01,Premium,F,SI2,60.0,60.0,6.46,6.4,3.86
104,0.32,Ideal,D,VS2,62.7,57.0,4.4,4.44,2.77
105,1.02,Premium,G,VS2,62.7,58.0,6.44,6.36,4.01
106,0.41,Ideal,E,VS2,61.6,55.0,4.75,4.79,2.94
107,1.07,Ideal,H,SI1,61.5,56.0,6.6,6.66,4.08
108,1.0,Premium,F,SI1,62.1,59.0,6.36,6.39,3.96
109,2.01,Premium,D,SI2,59.1,60.0,8.31,8.21,4.88
110,2.26,Premium,H,SI2,61.1,57.0,8.45,8.4,5.15
111,0.34,Ideal,G,IF,61.9,54.0,4.49,4.46,2.77
112,0.9,Premium,H,VS2,62.3,58.0,6.18,6.09,3.82
113,0.92,Good,E,SI1,63.7,57.0,6.11,6.14,3.9
114,0.9,Fair,D,SI2,66.9,57.0,6.02,5.9,3.99
115,0.39,Premium,G,SI1,61.4,56.0,4.75,4.7,2.9
116,0.35,Ideal,D,SI1,61.1,56.0,4.55,4.59,2.79
117,0.58,Ideal,H,VS2,62.4,58.0,5.3,5.34,3.32
118,1.0,Good,D,SI2,64.3,53.0,6.29,6.34,4.06
119,0.6,Ideal,F,SI1,61.5,58.0,5.38,5.41,3.32
120,0.45,Ideal,I,IF,62.0,54.0,4.94,4.97,3.07
121,0.32,Very Good,E,SI1,61.6,56.0,4.39,4.41,2.71
122,2.0,Very Good,H,SI1,62.2,57.0,7.97,8.08,4.99
123,0.9,Very Good,D,SI1,61.8,59.0,6.13,6.16,3.8
124,0.92,Very Good,G,SI2,62.4,60.0,6.18,6.22,3.87
125,1.02,Very Good,H,VS1,63.1,57.0,6.38,6.44,4.04
126,1.54,Very Good,I,VS2,62.2,58.0,7.32,7.37,4.57
127,1.53,Premium,H,VS2,62.7,56.0,7.39,7.31,4.61
128,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71
129,0.28,Very Good,H,VVS2,62.4,54.0,4.2,4.23,2.63
130,0.75,Premium,D,SI2,61.3,59.0,5.88,5.83,3.59
131,0.72,Ideal,E,SI1,60.9,57.0,5.83,5.86,3.56
132,1.29,Premium,D,SI2,59.4,62.0,7.06,6.99,4.17
133,1.02,Premium,F,VS2,62.4,59.0,6.45,6.4,4.01
134,1.0,Ideal,D,SI1,60.6,56.0,6.5,6.54,3.95
135,1.02,Premium,H,I1,62.5,60.0,6.41,6.39,4.0
136,0.31,Premium,G,VS2,62.2,59.0,4.35,4.3,2.69
137,0.4,Ideal,E,VS2,62.4,56.0,4.74,4.71,2.95
138,0.4,Very Good,E,VVS2,63.0,55.0,4.72,4.74,2.98
139,0.71,Premium,F,IF,61.1,58.0,5.8,5.72,3.52
140,1.03,Ideal,G,VVS2,61.2,57.0,6.48,6.52,3.98
141,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12
142,1.06,Very Good,F,SI1,59.5,63.0,6.62,6.59,3.93
143,0.46,Good,G,VVS2,60.2,60.5,4.98,5.04,3.02
144,2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15
145,1.52,Premium,G,VS2,60.9,61.0,7.41,7.38,4.5
146,0.33,Premium,E,SI2,59.7,58.0,4.48,4.53,2.69
147,1.11,Very Good,F,VVS1,62.5,59.0,6.59,6.63,4.13
148,0.91,Very Good,G,SI2,60.4,61.0,6.21,6.28,3.77
149,0.71,Very Good,E,VS2,64.0,57.0,5.66,5.68,3.63
150,1.21,Good,E,I1,64.0,57.0,6.73,6.67,4.29
151,0.56,Ideal,G,VVS2,61.6,56.0,5.29,5.32,3.27
152,1.07,Ideal,F,VS2,61.0,54.0,6.59,6.62,4.03
153,0.7,Premium,J,SI1,61.3,59.0,5.75,5.73,3.52
154,1.17,Good,D,SI2,60.4,65.0,6.81,6.77,4.1
155,1.07,Ideal,G,SI2,62.1,55.0,6.54,6.61,4.08
156,0.51,Premium,E,VVS2,62.0,62.0,5.09,5.04,3.14
157,1.0,Very Good,E,SI2,63.3,55.0,6.29,6.25,3.97
158,0.78,Ideal,G,VS2,61.1,56.0,5.89,5.96,3.62
159,1.04,Ideal,G,VS2,60.8,57.0,6.55,6.57,3.99
160,0.7,Ideal,E,SI1,62.2,57.0,5.72,5.67,3.54
161,1.66,Very Good,G,SI2,58.5,62.0,7.73,7.79,4.54
162,0.3,Very Good,G,VS1,63.3,56.0,4.31,4.28,2.72
163,0.9,Ideal,I,VS1,60.9,60.0,6.2,6.24,3.79
164,0.61,Good,E,SI2,63.1,56.0,5.4,5.44,3.42
165,0.38,Ideal,F,VS2,62.3,54.0,4.65,4.69,2.91
166,0.41,Very Good,G,VVS2,59.1,60.0,4.84,4.87,2.87
167,0.27,Very Good,E,VS2,58.6,57.0,4.3,4.33,2.53
168,0.71,Very Good,I,VVS1,63.0,58.0,5.6,5.67,3.55
169,0.31,Premium,G,VVS2,60.5,58.0,4.39,4.43,2.67
170,2.31,Premium,I,SI2,58.8,58.0,8.7,8.64,5.1
171,0.32,Ideal,F,VS2,62.6,55.0,4.41,4.38,2.75
172,0.3,Ideal,H,VVS2,62.3,54.4,4.28,4.32,2.68
173,0.81,Ideal,H,SI1,62.3,58.0,5.95,5.96,3.71
174,2.02,Premium,E,SI2,59.8,58.0,8.2,8.16,4.89
175,0.59,Good,F,SI1,59.1,58.0,5.46,5.5,3.24
176,0.53,Premium,G,VS1,62.4,58.0,5.2,5.16,3.23
177,0.7,Ideal,D,SI1,61.8,56.0,5.63,5.73,3.51
178,0.5,Ideal,H,SI1,61.3,54.0,5.12,5.16,3.15
179,0.9,Good,G,VS2,62.9,62.0,6.02,6.06,3.8
180,0.9,Ideal,J,VS1,62.6,54.0,6.15,6.18,3.86
181,0.36,Ideal,F,VVS1,61.0,55.0,4.6,4.62,2.81
182,0.3,Ideal,G,SI1,62.0,58.0,4.27,4.29,2.65
183,1.51,Premium,F,SI1,62.3,61.0,7.29,7.22,4.52
184,0.4,Ideal,G,VS1,62.3,57.0,4.73,4.68,2.93
185,0.53,Very Good,I,VS1,61.6,56.7,5.18,5.21,3.2
186,0.41,Very Good,E,SI1,62.8,57.0,4.71,4.75,2.97
187,1.0,Premium,F,SI2,60.2,62.0,6.53,6.45,3.91
188,0.91,Very Good,H,VS1,62.1,59.0,6.17,6.2,3.84
189,0.32,Very Good,F,IF,61.7,55.0,4.4,4.41,2.72
190,0.82,Good,G,SI2,63.8,60.0,5.89,5.84,3.74
191,0.72,Ideal,E,VVS2,62.0,56.0,5.74,5.77,3.57
192,0.76,Premium,E,SI2,62.4,58.0,5.83,5.86,3.65
193,0.76,Very Good,I,VS1,59.8,61.0,5.92,5.96,3.55
194,0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93
195,0.43,Premium,F,SI1,60.5,60.0,4.84,4.88,2.94
196,0.32,Ideal,G,VS2,62.0,57.0,4.4,4.37,2.72
197,2.22,Ideal,G,SI2,62.6,57.0,8.35,8.29,5.21
198,1.01,Ideal,H,VS2,62.7,56.0,6.35,6.4,4.0
199,1.01,Good,F,VVS2,63.6,60.0,6.36,6.31,4.03
200,0.44,Premium,E,SI1,62.3,58.0,4.88,4.85,3.03
201,2.01,Premium,I,VS2,60.3,58.0,8.22,8.16,4.94
202,0.9,Ideal,H,SI2,62.1,55.0,6.17,6.2,3.84
203,1.08,Very Good,E,SI2,62.9,59.0,6.44,6.53,4.08
204,1.01,Good,E,SI1,63.5,58.0,6.28,6.35,4.01
205,1.12,Ideal,E,SI2,60.9,57.0,6.66,6.6,4.04
206,1.54,Ideal,G,VS2,61.5,57.0,7.44,7.41,4.57
207,0.53,Good,F,SI1,63.8,56.0,5.16,5.13,3.28
208,0.73,Ideal,H,IF,62.2,54.0,5.76,5.82,3.6
209,1.16,Good,F,SI2,60.8,65.0,6.78,6.75,4.11
210,1.51,Premium,J,VS2,60.7,60.0,7.43,7.36,4.49
211,0.63,Premium,F,VS2,61.0,61.0,5.6,5.49,3.38
212,1.16,Good,F,SI2,63.7,63.0,6.63,6.55,4.2
213,0.31,Ideal,F,IF,61.2,56.0,4.38,4.41,2.69
214,0.43,Ideal,G,IF,62.1,54.0,4.83,4.87,3.01
215,1.52,Very Good,E,VS2,60.3,59.0,7.43,7.52,4.51
216,0.44,Ideal,G,SI1,60.9,56.0,4.88,4.94,2.99
217,1.51,Ideal,I,VS2,62.9,57.0,7.27,7.23,4.56
218,1.64,Ideal,I,VS1,62.1,55.0,7.57,7.59,4.71
219,0.54,Ideal,D,VS1,61.3,56.0,5.3,5.27,3.24
220,0.43,Premium,G,VVS1,60.3,58.0,4.87,4.91,2.95
221,2.01,Premium,J,SI1,59.3,62.0,8.2,8.15,4.85
222,0.34,Ideal,F,VVS2,59.1,57.0,4.66,4.61,2.74
223,1.52,Ideal,H,VVS2,62.8,56.0,7.32,7.3,4.59
224,0.7,Premium,F,SI1,62.5,59.0,5.65,5.67,3.54
225,0.74,Premium,D,SI1,62.4,59.0,5.73,5.8,3.6
226,1.01,Ideal,E,SI2,61.2,54.0,6.52,6.49,3.98
227,1.11,Ideal,F,VS2,61.7,55.0,6.65,6.67,4.11
228,1.25,Very Good,H,VS2,63.3,57.0,6.87,6.82,4.33
229,1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28
230,0.55,Ideal,E,VS1,61.2,57.0,5.3,5.28,3.24
231,0.3,Ideal,E,VS2,61.8,57.0,4.3,4.34,2.67
232,0.35,Premium,H,SI2,62.0,58.0,4.47,4.5,2.78
233,2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89
234,0.91,Fair,E,SI2,64.5,60.0,6.04,5.96,3.87
235,0.41,Very Good,D,VS1,62.9,57.0,4.73,4.75,2.98
236,0.3,Premium,D,SI2,60.2,60.0,4.32,4.35,2.61
237,2.02,Premium,I,SI1,62.5,59.0,8.05,8.01,5.02
238,0.71,Ideal,H,VS1,62.8,57.0,5.65,5.72,3.57
239,0.24,Very Good,E,VVS2,62.1,59.0,3.95,4.0,2.47
240,0.9,Ideal,I,SI1,60.8,57.0,6.22,6.25,3.79
241,0.31,Good,G,VS2,63.6,56.0,4.26,4.29,2.72
242,1.5,Good,F,SI2,59.7,61.0,7.39,7.44,4.43
243,0.5,Premium,E,SI2,61.4,58.0,5.11,5.09,3.13
244,1.08,Good,G,VS2,58.9,58.0,6.69,6.75,3.96
245,0.3,Ideal,G,VS1,62.3,56.0,4.32,4.29,2.68
246,0.3,Very Good,G,SI1,61.0,57.0,4.31,4.34,2.64
247,2.01,Premium,J,SI1,60.7,61.0,8.15,8.1,4.93
248,0.92,Ideal,E,SI1,61.7,57.0,6.24,6.27,3.86
249,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19
250,0.5,Ideal,E,VS2,61.3,55.0,5.13,5.15,3.15
251,0.4,Good,E,VVS2,58.5,60.0,4.82,4.86,2.83
252,0.78,Very Good,E,SI1,63.4,56.0,5.84,5.9,3.72
253,0.53,Ideal,E,VS1,60.1,57.0,5.25,5.31,3.17
254,1.27,Premium,F,VVS1,62.5,56.0,6.99,6.93,4.35
255,0.92,Premium,F,SI1,62.6,59.0,6.23,6.19,3.89
256,0.44,Very Good,F,SI2,62.8,60.0,4.82,4.86,3.04
257,1.33,Ideal,I,VS2,62.5,54.0,7.02,7.05,4.4
258,0.31,Premium,F,IF,61.5,58.0,4.33,4.35,2.67
259,0.6,Ideal,F,VVS2,61.0,57.0,5.43,5.46,3.32
260,0.43,Very Good,H,SI1,61.5,58.0,4.8,4.86,2.97
261,1.21,Very Good,H,SI2,61.1,55.7,6.87,6.92,4.21
262,2.0,Good,J,VS1,62.4,58.0,8.01,8.08,5.02
263,0.3,Ideal,E,VVS2,61.4,55.0,4.32,4.34,2.66
264,0.52,Ideal,E,VS1,62.6,57.0,5.15,5.11,3.21
265,0.31,Ideal,H,VVS1,61.5,56.0,4.38,4.34,2.68
266,1.31,Very Good,I,SI2,59.6,60.0,7.09,7.17,4.25
267,1.01,Good,J,VS2,62.8,58.0,6.3,6.35,3.97
268,0.9,Very Good,F,SI2,61.4,57.0,6.21,6.24,3.82
269,0.51,Ideal,I,SI1,62.5,57.0,5.1,5.07,3.18
270,1.05,Premium,E,IF,59.8,59.0,6.65,6.62,3.97
271,1.0,Very Good,F,VVS2,62.3,57.0,6.34,6.41,3.97
272,0.91,Premium,F,SI2,62.1,56.0,6.26,6.21,3.87
273,0.51,Very Good,F,VS1,62.4,59.0,5.04,5.09,3.16
274,1.5,Very Good,G,SI2,60.7,61.0,7.33,7.36,4.46
275,1.16,Premium,H,SI1,61.2,58.0,6.76,6.81,4.15
276,0.43,Very Good,G,VVS2,61.7,56.0,4.84,4.88,2.99
277,2.01,Very Good,I,SI2,61.4,63.0,8.19,7.96,4.96
278,0.41,Ideal,D,VVS2,62.3,55.0,4.77,4.76,2.97
279,0.32,Ideal,E,SI1,61.9,55.0,4.4,4.43,2.73
280,1.02,Premium,G,SI1,60.8,58.0,6.46,6.5,3.94
281,0.93,Very Good,G,SI2,62.9,56.0,6.2,6.23,3.91
282,0.26,Very Good,E,VS2,62.1,56.0,4.11,4.13,2.56
283,0.33,Ideal,H,VS2,60.7,57.0,4.5,4.46,2.72
284,0.57,Very Good,F,VS2,62.0,54.0,5.31,5.34,3.3
285,0.4,Ideal,H,VVS1,62.3,54.0,4.77,4.74,2.96
286,1.51,Ideal,E,VS2,62.7,57.0,7.31,7.26,4.57
287,1.23,Ideal,H,VVS2,61.3,55.0,6.9,6.94,4.24
288,0.3,Ideal,G,VVS1,61.7,54.0,4.32,4.34,2.67
289,0.92,Ideal,H,VS2,62.2,55.0,6.21,6.27,3.88
290,0.42,Ideal,G,VS2,60.8,57.0,4.82,4.85,2.94
291,1.28,Ideal,G,IF,61.7,56.0,6.95,6.99,4.3
292,0.7,Ideal,J,SI1,60.4,56.0,5.71,5.74,3.46
293,1.01,Premium,F,SI1,59.7,61.0,6.55,6.49,3.89
294,0.75,Premium,F,SI1,61.4,59.0,5.88,5.85,3.6
295,1.03,Very Good,F,SI2,62.0,58.0,6.43,6.51,4.01
296,0.47,Good,E,VVS1,65.2,56.0,4.86,4.89,3.18
297,0.89,Fair,I,VS1,68.2,65.0,5.82,5.74,3.94
298,1.58,Premium,G,VVS2,62.4,56.0,7.5,7.4,4.65
299,0.5,Very Good,F,VS1,61.9,62.0,5.02,5.06,3.12
300,1.25,Ideal,H,VS2,61.1,55.0,6.94,6.97,4.25
301,0.51,Ideal,G,VVS2,62.5,59.0,5.08,5.12,3.19
302,0.9,Very Good,F,SI1,62.6,57.0,6.16,6.2,3.87
303,1.12,Very Good,D,SI1,62.2,59.0,6.65,6.67,4.14
304,1.16,Ideal,I,SI2,62.6,56.0,6.68,6.73,4.2
305,0.33,Very Good,E,IF,61.8,55.0,4.47,4.52,2.78
306,1.15,Ideal,H,VS2,62.6,57.0,6.75,6.69,4.21
307,0.4,Ideal,F,VS2,61.0,62.0,4.71,4.74,2.88
308,0.9,Good,E,SI2,63.2,57.0,6.06,6.15,3.86
309,1.0,Fair,F,SI1,67.1,57.0,6.06,6.1,4.08
310,0.77,Ideal,F,SI2,61.7,56.0,5.91,5.96,3.66
311,0.9,Premium,F,SI2,60.5,57.0,6.23,6.2,3.76
312,1.01,Very Good,J,VS1,59.5,59.0,6.54,6.6,3.91
313,1.02,Ideal,F,VVS2,60.9,56.0,6.54,6.49,3.97
314,0.4,Premium,H,VS1,62.7,56.0,4.73,4.71,2.96
315,0.43,Ideal,F,SI2,61.6,55.0,4.87,4.9,3.01
316,0.36,Ideal,G,VVS1,60.9,57.0,4.63,4.57,2.8
317,0.7,Very Good,G,VS1,59.3,62.0,5.74,5.8,3.42
318,0.71,Ideal,H,VS2,61.8,55.0,5.73,5.75,3.55
319,1.52,Premium,D,SI1,60.2,58.0,7.49,7.46,4.5
320,0.66,Ideal,H,SI1,60.9,55.0,5.63,5.7,3.45
321,0.31,Premium,G,VS1,61.2,60.0,4.3,4.33,2.64
322,1.01,Good,F,VS2,64.1,59.0,6.16,6.23,3.97
323,1.0,Fair,H,SI2,69.5,55.0,6.17,6.1,4.26
324,1.51,Very Good,G,VS1,59.5,59.0,7.41,7.45,4.42
325,0.24,Very Good,E,VS2,61.5,58.0,4.02,4.05,2.48
326,0.3,Ideal,H,VVS2,61.6,55.0,4.3,4.34,2.66
327,1.7,Premium,F,SI2,58.5,60.0,7.87,7.8,4.58
328,0.51,Very Good,D,VS2,63.2,56.0,5.04,5.08,3.2
329,0.3,Very Good,E,VS1,63.8,59.0,4.21,4.22,2.69
330,0.4,Very Good,I,VS1,62.9,59.0,4.68,4.73,2.96
331,0.77,Ideal,I,SI1,61.5,56.0,5.9,5.93,3.64
332,1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99
333,0.81,Premium,F,SI1,61.0,59.0,6.01,5.99,3.66
334,0.54,Premium,D,SI1,60.0,58.0,5.26,5.3,3.17
335,1.7,Premium,G,SI2,61.9,58.0,7.61,7.57,4.7
336,0.36,Very Good,I,VS1,60.3,60.0,4.58,4.64,2.78
337,1.08,Premium,D,VS2,61.2,60.0,6.61,6.63,4.05
338,1.1,Premium,F,SI2,62.0,59.0,6.62,6.6,4.1
339,0.81,Very Good,G,SI2,62.9,56.9,5.89,5.96,3.73
340,0.3,Very Good,H,VS2,63.5,59.0,4.27,4.2,2.69
341,0.57,Premium,E,VS2,61.4,58.0,5.37,5.32,3.28
342,1.51,Ideal,I,SI1,61.1,59.0,7.4,7.37,4.51
343,1.01,Premium,G,SI2,62.9,57.0,6.39,6.33,4.0
344,1.39,Premium,F,SI1,62.1,58.0,7.1,7.16,4.43
345,0.44,Very Good,D,SI1,62.9,58.0,4.82,4.85,3.04
346,0.71,Very Good,F,SI1,60.7,57.0,5.78,5.81,3.52
347,1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97
348,1.19,Premium,J,SI2,58.4,60.0,6.98,6.92,4.06
349,0.73,Good,H,SI2,60.9,65.0,5.86,5.69,3.51
350,1.01,Good,D,SI1,63.9,62.0,6.25,6.31,4.01
351,0.23,Premium,E,VS1,61.8,60.0,3.91,3.95,2.43
352,0.43,Premium,F,VVS1,60.3,58.0,4.88,4.91,2.95
353,0.26,Ideal,F,VVS1,61.6,57.0,4.1,4.08,2.52
354,1.51,Very Good,H,VS2,63.0,57.0,7.25,7.3,4.58
355,1.5,Premium,H,VS2,61.8,59.0,7.3,7.35,4.53
356,0.71,Very Good,F,SI2,63.6,56.0,5.58,5.67,3.58
357,0.33,Ideal,F,IF,61.3,55.0,4.48,4.49,2.75
358,0.53,Very Good,H,SI1,61.7,60.0,5.17,5.21,3.2
359,0.27,Very Good,D,VS2,63.0,57.0,4.06,4.1,2.57
360,1.2,Ideal,I,IF,61.5,56.0,6.79,6.84,4.19
361,0.3,Ideal,F,VVS1,61.8,57.0,4.3,4.34,2.67
362,0.3,Very Good,G,VS2,63.1,57.0,4.28,4.24,2.69
363,0.46,Very Good,D,VVS1,61.6,59.0,4.92,4.97,3.05
364,0.5,Ideal,F,VVS2,60.7,57.0,5.12,5.16,3.12
365,1.0,Good,D,SI2,61.1,61.0,6.37,6.43,3.91
366,1.6,Very Good,G,VS2,61.0,57.0,7.55,7.59,4.62
367,1.0,Very Good,D,SI1,61.4,63.0,6.35,6.41,3.92
368,0.71,Ideal,D,SI1,62.0,55.0,5.71,5.76,3.56
369,1.59,Ideal,I,VS2,61.1,55.0,7.54,7.48,4.59
370,0.76,Ideal,G,SI1,61.2,57.0,5.85,5.9,3.59
371,1.24,Fair,F,SI2,64.9,60.0,6.7,6.63,4.32
372,0.58,Ideal,E,VS1,60.8,57.0,5.41,5.42,3.29
373,1.02,Premium,H,SI2,60.8,58.0,6.48,6.45,3.93
374,1.02,Very Good,H,SI2,63.4,54.0,6.37,6.43,4.06
375,0.39,Ideal,F,VVS1,62.3,55.0,4.67,4.7,2.92
376,1.01,Ideal,D,SI1,62.0,57.0,6.44,6.37,3.97
377,0.9,Ideal,G,SI1,62.5,55.0,6.17,6.21,3.87
378,0.7,Premium,J,VS1,60.9,58.0,5.73,5.66,3.47
379,0.5,Ideal,E,VS2,61.6,57.0,5.09,5.13,3.15
